OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC
409FDNH,Miss,2019-10-30 15:22:00,2019-12-17 11:39:00,47.84513888888889
409G57S,Miss,2019-11-04 15:17:00,2019-12-17 11:42:00,42.85069444444444
409G9FZ,Miss,2019-11-05 08:49:00,2019-12-17 18:22:00,42.39791666666667
409GL77,Miss,2019-11-06 10:23:00,2019-12-17 11:43:00,41.05555555555556
409G6KY,Miss,2019-11-04 20:32:00,2019-12-17 21:46:00,43.05138888888889
409GN28,Miss,2019-11-06 13:37:00,2019-12-17 12:44:00,40.96319444444445
409GVWL,Miss,2019-11-07 11:18:00,2019-12-17 12:48:00,40.0625
409GWF5,Miss,2019-11-07 13:19:00,2019-12-17 13:46:00,40.01875
409GZ4F,Miss,2019-11-07 17:35:00,2019-12-17 16:36:00,39.95902777777778
409FMKN,Miss,2019-10-31 15:01:00,2019-12-19 15:55:00,49.0375
409H878,Miss,2019-11-09 12:46:00,2019-12-19 10:42:00,39.91388888888889
409H6BF,Miss,2019-11-08 10:47:00,2019-12-19 10:41:00,40.99583333333333
409HY2R,Miss,2019-11-13 09:51:00,2019-12-24 14:22:00,41.18819444444444
409GVN2,Miss,2019-11-07 11:38:00,2019-12-27 10:42:00,49.96111111111111
409HRBD,Miss,2019-11-12 22:00:00,2019-12-27 19:22:00,44.890277777777776
409KD3N,Miss,2019-11-20 13:20:00,2019-12-30 10:25:00,39.87847222222222
409GFCV,Miss,2019-11-05 15:46:00,2019-12-30 12:36:00,54.86805555555556
409F59N,Miss,2019-10-29 13:13:00,2019-12-30 08:23:00,61.798611111111114
409HFHZ,Miss,2019-11-11 12:41:00,2019-12-30 11:27:00,48.94861111111111
409KCHY,Miss,2019-11-20 14:11:00,2019-12-30 11:27:00,39.88611111111111
409GWSL,Miss,2019-11-07 14:13:00,2019-12-22 15:18:00,45.045138888888886
409D9SZ,Miss,2019-10-24 13:00:00,2019-12-23 15:01:00,60.08402777777778
409JRV9,Miss,2019-11-18 14:10:00,2019-12-30 13:30:00,41.97222222222222
409KBHR,Miss,2019-11-20 12:01:00,2019-12-30 10:35:00,39.94027777777778
409KD56,Miss,2019-11-20 14:25:00,2019-12-30 09:35:00,39.798611111111114
409G69L,Miss,2019-11-04 18:25:00,2019-12-30 11:38:00,55.71736111111111
409GYVB,Miss,2019-11-07 16:40:00,2019-12-30 09:32:00,52.702777777777776
409JRM8,Miss,2019-11-18 13:39:00,2019-12-30 10:32:00,41.87013888888889
