OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC,CQ TS
409FDNH,Miss,10/30/2019 15:22,12/17/2019 11:39,47.84513889,10/30/2019 15:23
409G57S,Miss,11/4/2019 15:17,12/17/2019 11:42,42.85069444,11/4/2019 15:21
409G9FZ,Miss,11/5/2019 8:49,12/17/2019 18:22,42.39791667,11/5/2019 8:53
409GL77,Miss,11/6/2019 10:23,12/17/2019 11:43,41.05555556,11/6/2019 10:28
409G6KY,Miss,11/4/2019 20:32,12/17/2019 21:46,43.05138889,11/5/2019 18:13
409GN28,Miss,11/6/2019 13:37,12/17/2019 12:44,40.96319444,11/6/2019 13:52
409GVWL,Miss,11/7/2019 11:18,12/17/2019 12:48,40.0625,11/7/2019 11:59
409GWF5,Miss,11/7/2019 13:19,12/17/2019 13:46,40.01875,11/7/2019 13:31
409GZ4F,Miss,11/7/2019 17:35,12/17/2019 16:36,39.95902778,11/7/2019 17:48
409FMKN,Miss,10/31/2019 15:01,12/19/2019 15:55,49.0375,10/31/2019 17:51
409H878,Miss,11/9/2019 12:46,12/19/2019 10:42,39.91388889,11/11/2019 11:39
409H6BF,Miss,11/8/2019 10:47,12/19/2019 10:41,40.99583333,11/11/2019 9:18
409HY2R,Miss,11/13/2019 9:51,12/24/2019 14:22,41.18819444,11/13/2019 10:24
409GVN2,Miss,11/7/2019 11:38,12/27/2019 10:42,49.96111111,11/7/2019 23:11
409HRBD,Miss,11/12/2019 22:00,12/27/2019 19:22,44.89027778,11/13/2019 4:38
409KD3N,Miss,11/20/2019 13:20,12/30/2019 10:25,39.87847222,11/20/2019 13:24
409GFCV,Miss,11/5/2019 15:46,12/30/2019 12:36,54.86805556,11/5/2019 15:58
409F59N,Miss,10/29/2019 13:13,12/30/2019 8:23,61.79861111,10/29/2019 13:47
409HFHZ,Miss,11/11/2019 12:41,12/30/2019 11:27,48.94861111,11/12/2019 12:34
409KCHY,Miss,11/20/2019 14:11,12/30/2019 11:27,39.88611111,11/21/2019 23:14
409GWSL,Miss,11/7/2019 14:13,12/22/2019 15:18,45.04513889,11/8/2019 0:50
409D9SZ,Miss,10/24/2019 13:00,12/23/2019 15:01,60.08402778,10/24/2019 13:06
