OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,Close and Create Diff
409S2DY,Make,2020-01-03 09:33:00,2020-01-07 14:43:00,2020-01-03 09:41:00,4 days 05:10:00.000000000
409S9GF,Make,2020-01-06 10:22:00,2020-01-07 11:03:00,,1 days 00:41:00.000000000
409S4GJ,Make,2020-01-03 15:57:00,2020-01-07 10:49:00,2020-01-06 08:45:00,3 days 18:52:00.000000000
409SDJN,Make,2020-01-06 14:59:00,2020-01-07 17:00:00,2020-01-06 14:59:00,1 days 02:01:00.000000000
BNBFSRQ,Make,2020-01-02 16:11:00,2020-01-07 08:52:00,2020-01-06 09:03:00,4 days 16:41:00.000000000
409RRPV,Make,2020-01-02 08:21:00,2020-01-07 12:02:00,2020-01-03 10:39:00,5 days 03:41:00.000000000
409S9F2,Make,2020-01-06 08:17:00,2020-01-07 14:52:00,2020-01-06 14:02:00,1 days 06:35:00.000000000
409RSN7,Make,2020-01-02 10:21:00,2020-01-07 11:41:00,2020-01-02 12:49:00,5 days 01:20:00.000000000
409SCDW,Make,2020-01-06 10:40:00,2020-01-08 11:58:00,2020-01-08 10:02:00,2 days 01:18:00.000000000
409SDMG,Make,2020-01-06 16:10:00,2020-01-08 16:08:00,2020-01-07 10:39:00,1 days 23:58:00.000000000
409SBTH,Make,2020-01-06 12:34:00,2020-01-08 16:00:00,2020-01-06 15:00:00,2 days 03:26:00.000000000
409SCKG,Make,2020-01-06 13:01:00,2020-01-08 09:15:00,2020-01-06 13:02:00,1 days 20:14:00.000000000
409SMBB,Make,2020-01-07 12:00:00,2020-01-08 14:03:00,2020-01-07 12:01:00,1 days 02:03:00.000000000
409RTPG,Miss,2020-01-02 09:27:00,2020-01-08 11:07:00,2020-01-02 09:27:00,6 days 01:40:00.000000000
409SB44,Make,2020-01-06 11:19:00,2020-01-08 15:04:00,2020-01-06 11:20:00,2 days 03:45:00.000000000
409SJCR,Make,2020-01-07 08:36:00,2020-01-08 15:50:00,2020-01-07 08:37:00,1 days 07:14:00.000000000
409SKGM,Make,2020-01-07 09:11:00,2020-01-08 17:56:00,2020-01-07 09:46:00,1 days 08:45:00.000000000
409SMTD,Make,2020-01-07 13:11:00,2020-01-08 11:10:00,2020-01-07 13:15:00,0 days 21:59:00.000000000
409S9KS,Make,2020-01-06 09:34:00,2020-01-08 13:22:00,2020-01-08 11:50:00,2 days 03:48:00.000000000
409SMSV,Make,2020-01-07 11:04:00,2020-01-08 19:04:00,,1 days 08:00:00.000000000
409S9NN,Make,2020-01-06 10:41:00,2020-01-08 16:29:00,2020-01-06 10:41:00,2 days 05:48:00.000000000
409S3NY,Make,2020-01-03 13:52:00,2020-01-08 11:53:00,2020-01-06 14:35:00,4 days 22:01:00.000000000
409SCYS,Make,2020-01-06 13:48:00,2020-01-08 11:39:00,2020-01-07 10:10:00,1 days 21:51:00.000000000
409S9YV,Make,2020-01-06 09:04:00,2020-01-08 15:27:00,2020-01-06 14:00:00,2 days 06:23:00.000000000
409RW77,Miss,2020-01-02 16:16:00,2020-01-09 15:30:00,2020-01-02 19:16:00,6 days 23:14:00.000000000
409SY3V,Make,2020-01-08 14:56:00,2020-01-09 12:55:00,2020-01-08 15:40:00,0 days 21:59:00.000000000
409TG7H,Make,2020-01-10 13:03:00,2020-01-13 17:23:00,,3 days 04:20:00.000000000
409SKT5,Miss,2020-01-07 09:35:00,2020-01-13 11:47:00,2020-01-08 09:57:00,6 days 02:12:00.000000000
