,OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,CQ Applied TS,CQ and Create Diff
365,409R9D7,Make,2019-12-26 10:46:00,2019-12-27 15:43:00,2019-12-26 10:47:00,2019-12-26 10:59:00,0 days 00:13:00.000000000
366,409NTNP,Miss,2019-12-10 11:00:00,2019-12-30 14:25:00,,2019-12-11 04:31:00,0 days 17:31:00.000000000
367,409RCPF,Make,2019-12-27 10:03:00,2019-12-31 13:26:00,2019-12-27 10:05:00,2019-12-27 10:17:00,0 days 00:14:00.000000000
368,409Q66C,Miss,2019-12-17 11:22:00,2020-01-06 10:34:00,,2019-12-17 13:07:00,0 days 01:45:00.000000000
369,409QL54,Miss,2019-12-19 08:35:00,2020-01-10 13:34:00,2019-12-19 08:36:00,2019-12-19 08:41:00,0 days 00:06:00.000000000
370,409MKM4,Miss,2019-12-03 13:57:00,2020-01-06 12:38:00,,2019-12-03 15:45:00,0 days 01:48:00.000000000
371,409LH4Y,Miss,2019-11-26 19:07:00,2019-12-19 11:51:00,2019-11-26 19:23:00,2019-11-26 19:38:00,0 days 00:31:00.000000000
372,BNBDWGW,Make,2020-01-07 11:07:00,2020-01-07 13:35:00,,2020-01-07 13:35:00,0 days 02:28:00.000000000
373,409S8TM,Make,2020-01-06 09:26:00,2020-01-09 08:32:00,2020-01-06 11:49:00,2020-01-06 11:50:00,0 days 02:24:00.000000000
374,409NB6H,Miss,2019-12-06 10:48:00,2019-12-23 09:36:00,2019-12-06 10:49:00,2019-12-06 10:51:00,0 days 00:03:00.000000000
375,409RF49,Miss,2019-12-27 15:19:00,2020-01-02 21:20:00,,2019-12-27 16:09:00,0 days 00:50:00.000000000
376,409Q5D3,Miss,2019-12-17 10:08:00,2019-12-23 21:30:00,2019-12-17 10:09:00,2019-12-17 10:27:00,0 days 00:19:00.000000000
377,409RFCW,Miss,2019-12-27 16:34:00,2020-01-08 13:33:00,2019-12-27 16:35:00,2019-12-27 16:38:00,0 days 00:04:00.000000000
